cycle,start,end,picks,gross,net,all10,n_picks,open
1,2015-01-01,2015-01-22,HDFCBANK+SBIN+ICICIBANK+TCS+ITC,1.96,1.36,5.8,5,
2,2015-01-22,2015-02-13,BHARTIARTL+INFY+SBIN+ICICIBANK+LT,-3.2,-3.8,-0.72,5,
3,2015-02-13,2015-03-10,HDFCBANK+INFY+HINDUNILVR+ITC+TCS,-1.02,-1.62,-1.33,5,
4,2015-03-10,2015-03-31,HINDUNILVR+HDFCBANK+BHARTIARTL+LT+TCS,-2.2,-2.8,-3.11,5,
5,2015-03-31,2015-04-24,BHARTIARTL+LT+TCS+INFY+HDFCBANK,-2.95,-3.55,0.16,5,
6,2015-04-24,2015-05-18,BHARTIARTL+ITC+RELIANCE+HDFCBANK+LT,-1.47,-2.07,-0.4,5,
7,2015-05-18,2015-06-08,SBIN+BHARTIARTL+HDFCBANK+RELIANCE+ICICIBANK,-3.93,-4.53,-2.57,5,
8,2015-06-08,2015-06-29,BHARTIARTL+LT+TCS+HDFCBANK+RELIANCE,4.98,4.38,4.98,5,
9,2015-06-29,2015-07-20,HDFCBANK+RELIANCE+LT+HINDUNILVR+TCS,2.91,2.31,2.69,5,
10,2015-07-20,2015-08-10,HDFCBANK+RELIANCE+LT+HINDUNILVR+BHARTIARTL,-3.62,-4.22,-0.98,5,
11,2015-08-10,2015-08-31,INFY+TCS+SBIN+HDFCBANK+ITC,-3.8,-4.4,-7.17,5,
12,2015-08-31,2015-09-22,INFY+ITC+TCS+HDFCBANK+HINDUNILVR,-1.98,-2.58,-2.31,5,
13,2015-09-22,2015-10-15,INFY+SBIN+HDFCBANK+TCS+ITC,4.52,3.92,4.66,5,
14,2015-10-15,2015-11-06,ITC+HDFCBANK+RELIANCE+ICICIBANK+SBIN,-1.6,-2.2,-1.64,5,
15,2015-11-06,2015-12-02,RELIANCE+INFY+HDFCBANK+SBIN+HINDUNILVR,1.9,1.3,1.09,5,
16,2015-12-02,2015-12-23,RELIANCE+ITC+HDFCBANK+HINDUNILVR+SBIN,-1.13,-1.73,-0.28,5,
17,2015-12-23,2016-01-14,INFY+HINDUNILVR+RELIANCE+BHARTIARTL+HDFCBANK,-1.13,-1.73,-5.13,5,
18,2016-01-14,2016-02-05,RELIANCE+INFY+HINDUNILVR+HDFCBANK+ITC,-0.26,-0.86,-2.3,5,
19,2016-02-05,2016-02-26,INFY+HINDUNILVR+HDFCBANK+ITC+TCS,-6.04,-6.64,-5.23,5,
20,2016-02-26,2016-03-21,HINDUNILVR+INFY+RELIANCE+BHARTIARTL+LT,8.0,7.4,12.39,5,
21,2016-03-21,2016-04-13,RELIANCE+ICICIBANK+SBIN+INFY+LT,0.28,-0.32,1.05,5,
22,2016-04-13,2016-05-09,RELIANCE+HINDUNILVR+HDFCBANK+ITC+ICICIBANK,-3.8,-4.4,-1.38,5,
23,2016-05-09,2016-05-30,HDFCBANK+BHARTIARTL+TCS+LT+ITC,5.87,5.27,4.84,5,
24,2016-05-30,2016-06-20,HDFCBANK+ITC+TCS+INFY+RELIANCE,-0.42,-1.02,0.84,5,
25,2016-06-20,2016-07-12,HDFCBANK+SBIN+LT+BHARTIARTL+HINDUNILVR,3.49,2.89,2.12,5,
