symbol,Date,Open,High,Low,Close
BHARTIARTL,2013-01-01,287.1,291.11,286.15,290.29
BHARTIARTL,2013-01-02,290.48,294.08,288.4,289.35
BHARTIARTL,2013-01-03,291.11,296.42,287.77,295.61
BHARTIARTL,2013-01-04,294.85,297.23,293.58,294.71
BHARTIARTL,2013-01-07,297.1,298.45,293.18,294.53
BHARTIARTL,2013-01-08,294.53,299.89,292.64,297.69
BHARTIARTL,2013-01-09,299.17,303.27,298.59,300.79
BHARTIARTL,2013-01-10,300.61,300.97,294.58,297.46
BHARTIARTL,2013-01-11,297.23,298.36,291.92,293.09
BHARTIARTL,2013-01-14,294.26,297.41,291.38,296.24
BHARTIARTL,2013-01-15,296.06,315.98,294.08,311.11
BHARTIARTL,2013-01-16,310.93,314.18,307.15,309.04
BHARTIARTL,2013-01-17,307.42,321.75,304.9,318.59
BHARTIARTL,2013-01-18,317.15,318.5,311.16,314.4
BHARTIARTL,2013-01-21,312.96,323.55,310.75,320.44
BHARTIARTL,2013-01-22,319.63,319.86,314.54,316.93
BHARTIARTL,2013-01-23,316.34,332.16,315.67,331.08
BHARTIARTL,2013-01-24,332.52,333.1,324.09,326.17
BHARTIARTL,2013-01-25,324.45,334.01,321.93,324.9
BHARTIARTL,2013-01-28,322.47,326.98,320.4,322.06
BHARTIARTL,2013-01-29,322.06,327.7,313.91,314.99
BHARTIARTL,2013-01-30,317.87,318.1,308.73,310.57
BHARTIARTL,2013-01-31,309.27,313.14,304.08,306.07
BHARTIARTL,2013-02-01,303.23,312.56,294.44,296.87
BHARTIARTL,2013-02-04,299.22,301.65,295.43,298.36
BHARTIARTL,2013-02-05,297.01,300.3,290.97,292.68
BHARTIARTL,2013-02-06,295.12,298.18,292.41,294.35
BHARTIARTL,2013-02-07,294.35,294.62,284.93,288.49
BHARTIARTL,2013-02-08,288.22,293.09,285.92,290.02
BHARTIARTL,2013-02-11,288.49,289.3,283.58,284.98
BHARTIARTL,2013-02-12,283.04,291.56,283.04,290.48
BHARTIARTL,2013-02-13,291.56,297.73,291.02,293.76
BHARTIARTL,2013-02-14,294.17,294.26,279.57,280.92
BHARTIARTL,2013-02-15,280.92,286.83,276.37,285.38
BHARTIARTL,2013-02-18,284.8,286.15,281.19,282.72
BHARTIARTL,2013-02-19,283.85,283.9,274.52,277.18
BHARTIARTL,2013-02-20,280.56,280.65,273.13,273.98
BHARTIARTL,2013-02-21,272.99,277.41,262.72,266.95
BHARTIARTL,2013-02-22,267.94,280.56,266.91,279.07
BHARTIARTL,2013-02-25,277.14,281.01,275.33,276.69
BHARTIARTL,2013-02-26,281.1,302.46,272.72,281.01
BHARTIARTL,2013-02-27,285.7,292.82,284.21,289.98
BHARTIARTL,2013-02-28,294.17,295.43,285.92,291.02
BHARTIARTL,2013-03-01,291.51,294.08,277.5,280.38
BHARTIARTL,2013-03-04,280.29,286.73,276.91,284.84
BHARTIARTL,2013-03-05,284.8,291.96,279.03,290.29
BHARTIARTL,2013-03-06,291.33,294.67,287.37,288.81
BHARTIARTL,2013-03-07,287.5,289.57,284.98,288.63
BHARTIARTL,2013-03-08,291.15,293.76,288.85,291.02
BHARTIARTL,2013-03-11,291.2,294.22,287.5,289.62
BHARTIARTL,2013-03-12,289.3,289.3,282.9,283.49
BHARTIARTL,2013-03-13,282.27,288.72,280.2,285.97
BHARTIARTL,2013-03-14,284.44,286.1,278.49,283.54
BHARTIARTL,2013-03-15,281.46,285.92,276.87,279.66
BHARTIARTL,2013-03-18,274.88,279.71,271.41,277.14
BHARTIARTL,2013-03-19,279.39,281.1,255.96,264.43
BHARTIARTL,2013-03-20,262.27,268.03,248.39,252.4
BHARTIARTL,2013-03-21,256.86,273.62,256.86,268.48
BHARTIARTL,2013-03-22,270.15,270.15,260.33,265.01
