symbol,signal_date,tier,entry_date,entry_px,exit_px,exit_date,exit,hold_days,pnl_pct,open,stage_at_signal,rsi_at_signal
BHARTIARTL,2014-03-07,T1,2014-03-10,272.13,270.51,2014-03-12,stage,3,-0.6,False,EARLY-UP,52.8
BHARTIARTL,2014-04-11,T1,2014-04-15,288.94,283.81,2014-05-06,stage,14,-1.78,False,ALL-ALIGN BULL,63.2
BHARTIARTL,2014-05-13,T1,2014-05-14,290.66,291.29,2014-05-14,stage,1,0.22,False,EARLY-UP,49.5
BHARTIARTL,2014-05-20,T1,2014-05-21,313.64,325.85,2014-06-10,time,15,3.89,False,TOP-WARNING,69.8
BHARTIARTL,2014-06-17,T1,2014-06-18,303.72,305.3,2014-06-20,stage,3,0.52,False,EARLY-UP,48.0
BHARTIARTL,2014-08-01,T1,2014-08-04,344.78,332.65,2014-08-25,time,15,-3.52,False,TOP-WARNING,78.7
BHARTIARTL,2014-08-28,T2,2014-09-01,333.47,373.98,2014-09-19,time,15,12.15,False,ALL-ALIGN BULL,55.1
BHARTIARTL,2014-10-09,T2,2014-10-10,361.27,353.56,2014-10-10,stage,1,-2.13,False,ALL-ALIGN BULL,56.3
BHARTIARTL,2015-01-21,T1,2015-01-22,336.48,323.82,2015-02-02,stage,7,-3.76,False,ALL-ALIGN BULL,59.0
BHARTIARTL,2015-03-20,T1,2015-03-23,346.08,374.16,2015-04-15,time,15,8.11,False,ALL-ALIGN BULL,57.0
BHARTIARTL,2015-03-30,T2,2015-03-31,350.63,360.37,2015-04-23,time,15,2.78,False,ALL-ALIGN BULL,56.7
BHARTIARTL,2015-06-15,T1,2015-06-16,372.26,373.39,2015-06-16,stage,1,0.3,False,ALL-ALIGN BULL,55.0
BHARTIARTL,2015-06-17,T1,2015-06-18,376.82,373.03,2015-06-29,stage,8,-1.01,False,ALL-ALIGN BULL,60.8
BHARTIARTL,2015-06-30,T1,2015-07-01,381.86,382.54,2015-07-01,stage,1,0.18,False,EARLY-UP,53.0
BHARTIARTL,2015-09-16,T1,2015-09-18,324.5,317.51,2015-09-21,stage,2,-2.15,False,EARLY-UP,46.4
BHARTIARTL,2015-12-23,T1,2015-12-24,299.44,294.53,2016-01-04,stage,7,-1.64,False,EARLY-UP,56.5
BHARTIARTL,2016-03-18,T1,2016-03-21,310.93,302.33,2016-04-01,stage,8,-2.77,False,EARLY-UP,66.5
BHARTIARTL,2016-04-11,T1,2016-04-12,313.82,315.53,2016-04-12,stage,1,0.54,False,EARLY-UP,56.0
BHARTIARTL,2016-04-28,T1,2016-04-29,335.13,323.64,2016-05-06,stage,6,-3.43,False,ALL-ALIGN BULL,66.9
BHARTIARTL,2016-05-03,T2,2016-05-04,329.82,323.64,2016-05-06,stage,3,-1.87,False,ALL-ALIGN BULL,60.3
BHARTIARTL,2016-10-26,T1,2016-10-27,283.49,279.03,2016-11-02,stage,4,-1.57,False,EARLY-UP,51.4
BHARTIARTL,2016-11-28,T1,2016-11-29,289.12,292.55,2016-11-30,stage,2,1.19,False,EARLY-UP,58.1
BHARTIARTL,2017-02-03,T1,2017-02-06,319.05,320.58,2017-02-27,time,15,0.48,False,TOP-WARNING,72.2
BHARTIARTL,2017-02-28,T2,2017-03-01,332.16,314.9,2017-03-20,stage,13,-5.2,False,ALL-ALIGN BULL,60.0
BHARTIARTL,2017-03-06,T2,2017-03-07,325.35,314.9,2017-03-20,stage,9,-3.21,False,ALL-ALIGN BULL,56.3
BHARTIARTL,2017-03-15,T2,2017-03-16,328.06,314.9,2017-03-20,stage,3,-4.01,False,ALL-ALIGN BULL,56.6
BHARTIARTL,2017-05-18,T1,2017-05-19,336.17,331.39,2017-06-08,time,15,-1.42,False,ALL-ALIGN BULL,60.9
BHARTIARTL,2017-06-02,T2,2017-06-05,336.35,331.39,2017-06-08,stage,4,-1.47,False,ALL-ALIGN BULL,58.8
BHARTIARTL,2017-06-07,T2,2017-06-08,336.12,331.39,2017-06-08,stage,1,-1.41,False,ALL-ALIGN BULL,57.3
BHARTIARTL,2017-07-13,T1,2017-07-14,365.05,382.31,2017-08-03,time,15,4.73,False,ALL-ALIGN BULL,69.4
BHARTIARTL,2017-08-17,T2,2017-08-18,373.08,366.36,2017-09-05,stage,12,-1.8,False,ALL-ALIGN BULL,56.2
BHARTIARTL,2017-10-11,T1,2017-10-12,363.39,489.56,2017-11-02,time,15,34.72,False,ALL-ALIGN BULL,57.3
BHARTIARTL,2017-10-13,T2,2017-10-16,389.52,479.96,2017-11-06,time,15,23.22,False,ALL-ALIGN BULL,69.3
BHARTIARTL,2017-11-21,T2,2017-11-22,454.68,447.43,2017-11-30,stage,7,-1.59,False,ALL-ALIGN BULL,57.8
BHARTIARTL,2017-11-27,T2,2017-11-28,448.78,447.43,2017-11-30,stage,3,-0.3,False,ALL-ALIGN BULL,55.1
BHARTIARTL,2018-04-23,T1,2018-04-24,362.22,368.39,2018-04-27,stage,4,1.7,False,EARLY-UP,53.1
BHARTIARTL,2018-10-24,T1,2018-10-25,276.69,268.53,2018-10-26,stage,2,-2.95,False,EARLY-UP,48.8
BHARTIARTL,2018-11-02,T1,2018-11-05,271.1,273.26,2018-11-05,stage,1,0.8,False,EARLY-UP,45.6
