date,close,regime,stage,action,rsi,macd,sma200,off_ath,symbol
2026-09-04,1840.0,RANGE,CHOP-DOWN,STAND-ASIDE,40.0,-10.0,1934.3,-14.9,BHARTIARTL
2026-09-04,712.1,TREND DOWN,BEAR,AVOID,40.0,0.0,838.6,-29.7,HDFCBANK
2026-09-04,1973.4,TREND DOWN,BEAR,AVOID,37.0,-3.0,2226.6,-34.8,HINDUNILVR
2026-09-04,1423.2,CHOP,CHOP-MID,STAND-ASIDE,49.0,-0.0,1355.7,-4.4,ICICIBANK
2026-09-04,1130.0,CHOP,CHOP-MID,STAND-ASIDE,49.0,-2.0,1306.7,-43.5,INFY
2026-09-04,264.1,TREND DOWN,BEAR,AVOID,40.0,-0.0,314.9,-47.5,ITC
2026-09-04,3964.1,RANGE,CHOP-DOWN,STAND-ASIDE,42.0,-16.0,3984.3,-10.3,LT
2026-09-04,1322.0,CHOP,CHOP-UP,WATCH,55.0,1.0,1389.3,-17.4,RELIANCE
2026-09-04,1016.1,CHOP,CHOP-DOWN,STAND-ASIDE,39.0,-5.0,1040.5,-17.2,SBIN
2026-09-04,2304.0,CHOP,CHOP-MID,STAND-ASIDE,48.0,-3.0,2597.1,-49.4,TCS
