Date,Close,sma50,sma200,atr14,chop14,adx14,macd,signal,macd_hist,rsi14,regime,macd_cross,rsi_zone,div,month_so_far_pct,ytd_pct,ret_1y_pct,off_ath_pct,scenario,action,sig,Event
2015-01-01,8284.00,,,48.46,,0.00,0.00,0.00,0.00,,RANGE,,NEUTRAL,,0.00,,,0.00,WARMUP,NO-DATA,0,
2015-01-02,8384.07,,,55.58,,7.14,7.98,1.60,6.39,100.00,RANGE,CROSS_UP,OVERBOUGHT,,1.21,,,0.00,WARMUP,NO-DATA,0,
2015-01-05,8331.41,,,57.91,,8.22,9.95,3.27,6.68,96.11,RANGE,,OVERBOUGHT,,0.57,,,-0.63,WARMUP,NO-DATA,0,
2015-01-06,8248.87,,,67.01,,10.24,4.79,3.57,1.22,90.19,RANGE,,OVERBOUGHT,,-0.42,,,-1.61,WARMUP,NO-DATA,0,Global growth scare -3%
2015-01-07,8241.62,,,68.09,,11.18,0.11,2.88,-2.77,89.66,RANGE,CROSS_DOWN,OVERBOUGHT,,-0.51,,,-1.70,WARMUP,NO-DATA,0,
2015-01-08,8184.47,,,70.34,,12.87,-8.11,0.68,-8.79,85.46,RANGE,,OVERBOUGHT,,-1.20,,,-2.38,WARMUP,NO-DATA,0,
2015-01-09,8182.80,,,69.65,,14.56,-14.60,-2.38,-12.22,85.33,RANGE,,OVERBOUGHT,,-1.22,,,-2.40,WARMUP,NO-DATA,0,
2015-01-12,8299.44,,,75.74,,13.63,-10.21,-3.94,-6.26,86.80,RANGE,,OVERBOUGHT,,0.19,,,-1.01,WARMUP,NO-DATA,0,
2015-01-13,8396.32,,,77.90,,13.79,1.08,-2.94,4.02,87.88,RANGE,CROSS_UP,OVERBOUGHT,,1.36,,,0.00,WARMUP,NO-DATA,0,
2015-01-14,8192.06,,,94.38,,14.68,-6.39,-3.63,-2.76,74.10,RANGE,CROSS_DOWN,OVERBOUGHT,,-1.11,,,-2.43,WARMUP,NO-DATA,0,
2015-01-15,8285.03,,,97.50,,14.07,-4.75,-3.85,-0.89,75.94,RANGE,,OVERBOUGHT,,0.01,,,-1.33,WARMUP,NO-DATA,0,RBI surprise cut 25bps
2015-01-16,8251.22,,,99.49,,14.04,-6.10,-4.30,-1.80,73.88,RANGE,,OVERBOUGHT,,-0.40,,,-1.73,WARMUP,NO-DATA,0,
2015-01-19,8338.50,,,101.10,,13.66,-0.14,-3.47,3.33,75.72,RANGE,CROSS_UP,OVERBOUGHT,,0.66,,,-0.69,WARMUP,NO-DATA,0,
2015-01-20,8242.24,,,103.50,62.69,13.66,-3.14,-3.40,0.27,69.88,CHOP,,NEUTRAL,,-0.50,,,-1.84,WARMUP,NO-DATA,0,
2015-01-21,8328.45,,,105.86,64.50,12.72,1.42,-2.44,3.86,71.96,CHOP,,OVERBOUGHT,,0.54,,,-0.81,WARMUP,NO-DATA,0,
2015-01-22,8330.51,,,102.65,65.78,11.81,5.15,-0.92,6.07,72.01,CHOP,,OVERBOUGHT,,0.56,,,-0.78,WARMUP,NO-DATA,0,
2015-01-23,8186.05,,,110.97,68.44,12.56,-3.52,-1.44,-2.08,63.49,CHOP,CROSS_DOWN,NEUTRAL,,-1.18,,,-2.50,WARMUP,NO-DATA,0,
2015-01-26,8328.91,,,115.13,68.12,12.10,1.13,-0.93,2.05,67.58,CHOP,CROSS_UP,NEUTRAL,,0.54,,,-0.80,WARMUP,NO-DATA,0,
2015-01-27,8363.37,,,115.66,68.91,11.95,7.50,0.76,6.74,68.49,CHOP,,NEUTRAL,,0.96,,,-0.39,WARMUP,NO-DATA,0,
2015-01-28,8315.17,,,112.50,68.36,11.82,8.57,2.32,6.25,65.70,CHOP,,NEUTRAL,,0.38,,,-0.97,WARMUP,NO-DATA,0,
2015-01-29,8128.66,,,119.61,71.22,12.97,-5.57,0.74,-6.32,56.15,CHOP,CROSS_DOWN,NEUTRAL,,-1.88,,,-3.19,WARMUP,NO-DATA,0,
2015-01-30,8224.90,,,121.38,71.03,13.07,-8.91,-1.19,-7.72,59.43,CHOP,,NEUTRAL,,-0.71,,,-2.04,WARMUP,NO-DATA,0,
