month,open,close,ret_pct,regime,n_days
2015-01-30,8284.00,8224.90,-0.71,RANGE,22
2015-02-27,8278.29,8181.08,-1.17,CHOP,20
2015-03-31,8357.50,8267.98,-1.07,CHOP,22
2015-04-30,8175.06,8145.10,-0.37,CHOP,22
2015-05-29,8147.96,8220.54,0.89,CHOP,21
2015-06-30,8199.33,8126.45,-0.89,CHOP,22
2015-07-31,8177.98,8191.02,0.16,CHOP,23
2015-08-31,8019.91,8052.35,0.40,CHOP,21
2015-09-30,8150.61,7949.72,-2.46,CHOP,22
2015-10-30,8089.97,8140.44,0.62,CHOP,22
2015-11-30,8044.04,7954.30,-1.12,CHOP,21
2015-12-31,8020.24,8038.78,0.23,CHOP,23
2016-01-29,7950.43,7349.79,-7.55,RANGE,21
2016-02-29,7315.85,6788.81,-7.20,RANGE,21
2016-03-31,6791.59,6980.70,2.78,TREND DOWN,23
2016-04-29,6925.10,7057.30,1.91,CHOP,21
2016-05-31,7193.76,7198.60,0.07,CHOP,22
2016-06-30,7275.87,7351.24,1.04,CHOP,22
2016-07-29,7423.80,7523.24,1.34,CHOP,21
2016-08-31,7568.66,7543.95,-0.33,CHOP,23
2016-09-30,7751.87,7735.68,-0.21,CHOP,22
2016-10-31,7877.37,7842.55,-0.44,CHOP,21
2016-11-30,8059.68,8116.12,0.70,CHOP,22
2016-12-30,8003.69,8030.28,0.33,CHOP,22
2017-01-31,8188.28,8380.94,2.35,CHOP,22
2017-02-28,8532.81,8671.19,1.62,CHOP,20
2017-03-31,8599.04,8731.74,1.54,CHOP,23
2017-04-28,8727.44,8947.11,2.52,CHOP,20
2017-05-31,8965.21,9188.26,2.49,CHOP,23
2017-06-30,9108.25,9269.70,1.77,CHOP,22
2017-07-31,9212.75,9442.37,2.49,CHOP,21
2017-08-31,9547.61,9798.28,2.63,CHOP,23
2017-09-29,9685.90,10003.13,3.28,CHOP,21
2017-10-31,9897.65,10219.58,3.25,CHOP,22
2017-11-30,10304.97,10333.86,0.28,CHOP,22
2017-12-29,10376.03,10508.84,1.28,CHOP,21
2018-01-31,10661.43,10644.79,-0.16,CHOP,23
2018-02-28,10553.92,10354.02,-1.89,CHOP,20
2018-03-30,10537.04,10474.24,-0.60,CHOP,22
2018-04-30,10389.88,10342.97,-0.45,CHOP,21
2018-05-31,10323.55,10168.45,-1.50,CHOP,23
2018-06-29,10371.60,10219.24,-1.47,CHOP,21
2018-07-31,10233.99,10096.11,-1.35,CHOP,22
2018-08-31,10151.70,10121.39,-0.30,CHOP,23
2018-09-28,10140.54,9979.50,-1.59,CHOP,20
2018-10-31,9936.71,10071.29,1.35,CHOP,23
2018-11-30,10111.09,10299.05,1.86,RANGE,22
2018-12-31,10504.70,10840.59,3.20,CHOP,21
2019-01-31,10849.61,10833.07,-0.15,CHOP,23
2019-02-28,10886.66,10926.61,0.37,CHOP,20
2019-03-29,11045.84,11083.09,0.34,CHOP,21
2019-04-30,10930.22,11143.50,1.95,CHOP,22
2019-05-31,10970.85,11215.01,2.23,CHOP,23
2019-06-28,11146.71,11080.06,-0.60,CHOP,20
2019-07-31,11062.39,11264.19,1.82,CHOP,23
2019-08-30,10911.15,11119.65,1.91,CHOP,22
2019-09-30,11242.53,11240.34,-0.02,CHOP,21
2019-10-31,11484.40,11669.01,1.61,CHOP,23
2019-11-29,11566.41,11880.91,2.72,CHOP,21
2019-12-31,11912.46,12063.01,1.26,CHOP,22
2020-01-31,12160.75,10474.82,-13.86,RANGE,23
2020-02-28,10190.41,8976.97,-11.91,TREND DOWN,20
2020-03-31,8584.13,7717.39,-10.10,TREND DOWN,22
2020-04-30,7817.80,8431.73,7.85,TREND DOWN,22
2020-05-29,8452.84,9141.09,8.14,RANGE,21
2020-06-30,9225.66,9777.72,5.98,TREND UP,22
2020-07-31,9775.19,10583.46,8.27,TREND UP,23
2020-08-31,10554.57,10932.21,3.58,TREND UP,21
2020-09-30,11206.90,11893.97,6.13,TREND UP,22
2020-10-30,11789.12,12577.01,6.68,TREND UP,22
2020-11-30,12475.71,13255.92,6.25,TREND UP,21
2020-12-31,13309.23,13943.94,4.77,TREND UP,23
2021-01-29,14031.35,14421.06,2.78,TREND UP,21
2021-02-26,14635.14,14899.83,1.81,TREND UP,20
2021-03-31,15110.20,15319.17,1.38,CHOP,23
2021-04-30,15463.60,15934.44,3.04,CHOP,22
2021-05-31,15952.29,16250.46,1.87,CHOP,21
2021-06-30,16295.34,16957.42,4.06,CHOP,22
2021-07-30,16840.32,17357.17,3.07,CHOP,22
2021-08-31,17257.09,17995.26,4.28,CHOP,22
2021-09-30,17593.63,18188.60,3.38,CHOP,22
2021-10-29,18095.92,18426.19,1.83,CHOP,21
2021-11-30,18473.29,17830.77,-3.48,CHOP,22
2021-12-31,17948.29,17401.06,-3.05,CHOP,23
2022-01-31,17514.20,16996.03,-2.96,CHOP,21
2022-02-28,16951.05,16542.82,-2.41,CHOP,20
2022-03-31,16538.06,16163.30,-2.27,CHOP,23
2022-04-29,16291.00,15817.19,-2.91,CHOP,21
2022-05-31,16035.49,15432.69,-3.76,CHOP,22
2022-06-30,15183.94,15404.64,1.45,CHOP,22
2022-07-29,15425.60,15657.53,1.50,CHOP,21
2022-08-31,15815.16,16583.52,4.86,CHOP,23
2022-09-30,16581.38,16844.55,1.59,CHOP,22
2022-10-31,16749.04,17299.66,3.29,CHOP,21
2022-11-30,17389.11,17846.68,2.63,CHOP,22
2022-12-30,17698.00,17897.66,1.13,CHOP,22
2023-01-31,18170.70,18401.36,1.27,CHOP,22
2023-02-28,18445.07,18778.54,1.81,CHOP,20
2023-03-31,18735.72,19062.77,1.75,CHOP,23
2023-04-28,19295.64,19405.43,0.57,CHOP,20
2023-05-31,19520.22,19389.06,-0.67,CHOP,23
2023-06-30,19588.09,19639.24,0.26,CHOP,22
2023-07-31,19797.76,20240.94,2.24,CHOP,21
2023-08-31,20025.14,20517.79,2.46,CHOP,23
2023-09-29,20229.13,20809.46,2.87,CHOP,21
2023-10-31,20701.16,20968.81,1.29,CHOP,22
2023-11-30,21338.22,21240.85,-0.46,CHOP,22
2023-12-29,21129.75,21536.52,1.93,CHOP,21
2024-01-31,22035.15,21752.60,-1.28,CHOP,23
2024-02-29,21929.26,21703.70,-1.03,CHOP,21
2024-03-29,22004.79,21788.31,-0.98,CHOP,21
2024-04-30,21773.75,21995.48,1.02,CHOP,22
2024-05-31,21769.31,21729.80,-0.18,CHOP,23
2024-06-28,21706.66,22736.28,4.74,CHOP,20
2024-07-31,23285.07,24275.16,4.25,RANGE,23
2024-08-30,24187.97,25505.62,5.45,RANGE,22
2024-09-30,25026.61,26235.44,4.83,CHOP,21
2024-10-31,26379.62,25522.02,-3.25,CHOP,23
2024-11-29,25474.81,24697.73,-3.05,CHOP,21
2024-12-31,25102.21,24385.11,-2.86,CHOP,22
2025-01-31,24198.93,23492.32,-2.92,CHOP,23
2025-02-28,23297.85,23173.93,-0.53,CHOP,20
2025-03-31,23365.90,23248.65,-0.50,CHOP,21
2025-04-30,23456.29,23241.56,-0.92,CHOP,22
2025-05-30,23212.07,23045.00,-0.72,CHOP,22
2025-06-30,22949.30,23152.83,0.89,CHOP,21
2025-07-31,23192.47,22771.87,-1.81,CHOP,23
2025-08-29,23101.77,22872.85,-0.99,CHOP,21
2025-09-30,22607.79,22698.64,0.40,CHOP,22
2025-10-31,22912.27,22220.98,-3.02,CHOP,23
2025-11-28,22400.72,22269.24,-0.59,CHOP,20
2025-12-31,22652.13,22675.44,0.10,CHOP,23
2026-01-30,22197.01,22611.01,1.87,CHOP,22
2026-02-27,22270.55,21707.35,-2.53,CHOP,20
