Date,bh_monthly,sma_gate_monthly
2014-12-31,-0.5,0.0
2015-01-31,6.35,0.0
2015-02-28,0.41,0.0
2015-03-31,-4.0,0.0
2015-04-30,-3.65,0.0
2015-05-31,3.08,0.0
2015-06-30,-0.77,0.0
2015-07-31,1.96,0.0
2015-08-31,-6.58,0.0
2015-09-30,-0.28,0.0
2015-10-31,1.47,0.0
2015-11-30,-1.62,0.0
2015-12-31,0.14,0.0
2016-01-31,-4.82,0.0
2016-02-29,-7.62,0.0
2016-03-31,10.75,0.0
2016-04-30,1.44,-2.19
2016-05-31,3.95,1.16
2016-06-30,1.56,1.56
2016-07-31,4.23,4.23
2016-08-31,1.71,1.71
2016-09-30,-1.99,-1.99
2016-10-31,0.31,0.31
2016-11-30,-4.79,-6.13
2016-12-31,-0.47,-3.05
2017-01-31,4.59,2.92
2017-02-28,3.72,3.72
2017-03-31,3.31,3.31
2017-04-30,1.42,1.42
2017-05-31,3.41,3.41
2017-06-30,-1.04,-1.04
2017-07-31,5.84,5.84
2017-08-31,-1.58,-1.58
2017-09-30,-1.3,-1.3
2017-10-31,5.59,5.59
2017-11-30,-1.05,-1.05
2017-12-31,2.97,2.97
2018-01-31,4.72,4.72
2018-02-28,-4.85,-4.85
2018-03-31,-3.61,-4.46
2018-04-30,6.19,3.16
2018-05-31,-0.03,-0.03
2018-06-30,-0.2,-0.2
2018-07-31,5.99,5.99
2018-08-31,2.85,2.85
2018-09-30,-6.42,-6.42
2018-10-31,-4.98,-3.03
2018-11-30,4.72,-0.83
2018-12-31,-0.13,-2.13
2019-01-31,-0.29,-2.78
2019-02-28,-0.36,-0.98
2019-03-31,7.2,6.5
2019-04-30,1.54,1.54
2019-05-31,1.49,1.49
2019-06-30,-1.12,-1.12
2019-07-31,-5.69,-5.97
2019-08-31,-0.85,0.0
2019-09-30,4.09,1.78
2019-10-31,3.51,1.61
2019-11-30,1.5,1.5
2019-12-31,0.93,0.93
2020-01-31,-1.7,-1.7
2020-02-29,-6.36,-2.37
2020-03-31,-23.25,0.0
2020-04-30,14.68,0.0
2020-05-31,-2.84,0.0
2020-06-30,7.53,0.0
2020-07-31,7.49,1.58
2020-08-31,2.84,2.84
2020-09-30,-1.23,-1.23
2020-10-31,3.51,3.51
2020-11-30,11.39,11.39
2020-12-31,7.81,7.81
2021-01-31,-2.48,-2.48
2021-02-28,6.56,6.56
2021-03-31,1.11,1.11
2021-04-30,-0.41,-0.41
2021-05-31,6.5,6.5
2021-06-30,0.89,0.89
2021-07-31,0.26,0.26
2021-08-31,8.69,8.69
2021-09-30,2.84,2.84
2021-10-31,0.3,0.3
2021-11-30,-3.9,-3.9
2021-12-31,2.18,2.18
2022-01-31,-0.08,-0.08
2022-02-28,-3.15,-6.3
2022-03-31,3.99,1.03
2022-04-30,-2.07,-4.92
2022-05-31,-3.03,0.0
2022-06-30,-4.85,0.0
2022-07-31,8.73,0.0
2022-08-31,3.5,3.5
2022-09-30,-3.74,-5.07
2022-10-31,5.37,2.17
2022-11-30,4.14,4.14
2022-12-31,-3.48,-3.48
2023-01-31,-2.45,-2.45
2023-02-28,-2.03,-2.03
2023-03-31,0.32,-1.76
2023-04-30,4.06,2.89
2023-05-31,2.6,2.6
2023-06-30,3.53,3.53
2023-07-31,2.94,2.94
2023-08-31,-2.53,-2.53
2023-09-30,2.0,2.0
2023-10-31,-2.84,-2.84
2023-11-30,5.52,5.52
2023-12-31,7.94,7.94
2024-01-31,-0.03,-0.03
2024-02-29,1.18,1.18
2024-03-31,1.57,1.57
2024-04-30,1.24,1.24
2024-05-31,-0.33,-0.33
2024-06-30,6.57,6.57
2024-07-31,3.92,3.92
2024-08-31,1.14,1.14
2024-09-30,2.28,2.28
2024-10-31,-6.22,-6.22
2024-11-30,-0.31,-1.87
2024-12-31,-2.02,-2.25
2025-01-31,-0.58,-2.37
2025-02-28,-5.89,0.0
2025-03-31,6.3,0.0
2025-04-30,3.46,-0.33
2025-05-31,1.71,-2.03
2025-06-30,3.1,3.1
2025-07-31,-2.93,-2.93
2025-08-31,-1.38,-1.38
2025-09-30,0.75,0.75
2025-10-31,4.51,4.51
2025-11-30,1.87,1.87
2025-12-31,-0.28,-0.28
2026-01-31,-3.1,-3.58
2026-02-28,-0.56,-3.03
2026-03-31,-11.31,0.0
2026-04-30,7.46,0.0
2026-05-31,-1.87,0.0
2026-06-30,1.35,0.0
2026-07-31,2.17,0.0
2026-08-31,-1.24,0.0
2026-09-30,-0.76,0.0
