Date,Open,High,Low,Close,Event,Category
2015-01-01,8309.0,8317.31,8268.85,8284.0,,
2015-01-02,8423.79,8432.21,8363.92,8384.07,,
2015-01-05,8318.0,8363.23,8295.98,8331.41,,
2015-01-06,8164.82,8269.1,8146.02,8248.87,Global growth scare -3%,Major
2015-01-07,8236.44,8299.99,8217.85,8241.62,,
2015-01-08,8216.57,8264.7,8165.21,8184.47,,
2015-01-09,8165.19,8217.74,8157.02,8182.8,,
2015-01-12,8292.15,8337.68,8276.63,8299.44,,
2015-01-13,8390.73,8405.39,8334.69,8396.32,,
2015-01-14,8116.39,8210.53,8087.64,8192.06,,
2015-01-15,8296.25,8330.06,8268.23,8285.03,RBI surprise cut 25bps,RBI
2015-01-16,8258.6,8332.74,8207.37,8251.22,,
2015-01-19,8311.1,8364.05,8242.04,8338.5,,
2015-01-20,8269.35,8284.0,8203.78,8242.24,,
2015-01-21,8349.97,8378.75,8304.68,8328.45,,
2015-01-22,8310.2,8362.82,8301.89,8330.51,,
2015-01-23,8170.93,8234.18,8111.32,8186.05,,
2015-01-26,8330.85,8355.32,8288.37,8328.91,,
2015-01-27,8259.28,8373.53,8251.02,8363.37,,
2015-01-28,8312.18,8327.84,8291.96,8315.17,,
2015-01-29,8161.35,8169.51,8103.13,8128.66,,
2015-01-30,8255.06,8273.06,8191.94,8224.9,,
2015-02-02,8281.11,8312.9,8244.54,8278.29,,
2015-02-03,8319.25,8363.09,8295.03,8319.69,,
2015-02-04,8159.19,8180.88,8137.28,8158.21,,
2015-02-05,8254.62,8316.78,8209.5,8238.51,,
2015-02-06,8240.6,8248.84,8172.11,8200.17,,
2015-02-09,8219.07,8283.14,8210.85,8262.09,,
2015-02-10,8183.74,8259.2,8117.94,8247.96,,
2015-02-11,8268.98,8278.75,8202.56,8268.76,,
2015-02-12,8329.59,8345.33,8244.09,8297.62,,
2015-02-13,8091.19,8191.55,8039.43,8154.65,,
2015-02-16,8159.1,8220.34,8150.94,8207.22,,
2015-02-17,8240.05,8309.11,8216.57,8248.24,,
2015-02-18,8376.98,8392.67,8320.61,8345.06,,
2015-02-19,8095.05,8180.15,8086.96,8160.84,,
2015-02-20,8209.77,8274.45,8201.56,8253.32,,
2015-02-23,8163.17,8185.25,8128.88,8151.54,,
2015-02-24,8278.91,8302.54,8240.79,8260.55,,
2015-02-25,8194.71,8289.75,8158.34,8189.79,,
2015-02-26,8312.7,8336.0,8231.92,8279.26,,
2015-02-27,8214.76,8236.59,8152.65,8181.08,,
2015-03-02,8322.45,8378.17,8311.38,8357.5,,
2015-03-03,8178.3,8189.96,8153.09,8177.99,,
2015-03-04,8242.94,8294.26,8204.85,8285.32,,
2015-03-05,8376.24,8449.1,8357.48,8409.1,,
2015-03-06,8260.48,8280.25,8217.29,8260.91,,
2015-03-09,8194.29,8271.81,8138.9,8221.78,,
2015-03-10,8260.74,8301.0,8211.95,8282.07,,
2015-03-11,8269.72,8302.26,8234.36,8250.21,,
2015-03-12,8170.32,8178.49,8113.26,8148.8,,
2015-03-13,8316.22,8369.37,8237.56,8292.47,,
2015-03-16,8185.85,8288.15,8055.49,8254.36,,
2015-03-17,8294.07,8350.21,8253.71,8294.39,,
2015-03-18,8270.02,8315.41,8248.75,8268.76,,
2015-03-19,8251.35,8345.93,8123.12,8223.38,,
2015-03-20,8097.68,8142.23,8050.07,8111.13,,
2015-03-23,8126.77,8186.88,8102.43,8143.75,,
2015-03-24,8265.9,8274.17,8187.57,8227.94,,
2015-03-25,8283.65,8363.16,8237.03,8254.51,,
2015-03-26,8297.34,8315.62,8254.05,8268.0,,
2015-03-27,8277.71,8335.89,8243.17,8268.01,,
2015-03-30,8168.11,8260.42,8137.68,8165.67,,
2015-03-31,8257.32,8381.63,8208.55,8267.98,,
2015-04-01,8199.67,8245.44,8132.21,8175.06,,
2015-04-02,8198.05,8311.08,8189.85,8256.85,,
2015-04-03,8153.46,8161.61,8068.9,8137.9,,
2015-04-06,8151.31,8159.46,8094.26,8108.72,,
2015-04-07,8111.67,8172.25,8098.9,8107.5,,
2015-04-08,8222.99,8249.25,8193.33,8231.17,,
2015-04-09,8200.16,8208.37,8134.1,8174.72,,
2015-04-10,8118.66,8230.07,8014.85,8117.95,,
2015-04-13,8221.57,8257.28,8196.18,8235.15,,
2015-04-14,8165.76,8200.45,8113.65,8163.39,,
2015-04-15,8183.78,8201.61,8126.27,8149.43,,
2015-04-16,8260.38,8284.51,8199.39,8235.27,,
2015-04-17,8262.33,8270.59,8219.13,8233.15,,
2015-04-20,8154.92,8186.75,8133.78,8151.81,,
2015-04-21,8294.36,8310.92,8213.16,8261.7,,
2015-04-22,8207.33,8231.97,8166.81,8190.23,,
2015-04-23,8147.17,8192.42,8139.03,8179.48,,
2015-04-24,8347.91,8382.81,8255.28,8324.19,,
2015-04-27,8236.0,8275.52,8197.15,8236.41,,
2015-04-28,8134.08,8142.22,8083.87,8124.97,,
2015-04-29,8195.72,8221.93,8149.31,8173.23,,
2015-04-30,8165.22,8193.47,8125.06,8145.1,,
2015-05-01,8118.41,8179.16,8110.29,8147.96,,
2015-05-04,8106.28,8129.46,8068.05,8086.48,,
2015-05-05,8291.08,8325.13,8258.03,8274.23,,
2015-05-06,8112.56,8120.67,8089.13,8111.28,,
2015-05-07,8094.55,8155.35,8039.15,8121.89,,
2015-05-08,8214.04,8243.61,8173.49,8201.42,,
2015-05-11,8157.44,8186.36,8127.35,8173.39,,
2015-05-12,8269.37,8283.98,8148.89,8204.27,,
2015-05-13,8190.83,8199.02,8103.65,8120.7,,
2015-05-14,8071.3,8166.22,8063.23,8117.17,,
2015-05-15,8157.98,8180.01,8119.32,8134.78,,
2015-05-18,8276.09,8344.75,8252.19,8289.15,,
2015-05-19,8214.28,8271.05,8099.66,8197.85,,
2015-05-20,8140.18,8226.04,8060.07,8134.21,,
2015-05-21,8269.59,8332.04,8206.98,8244.84,,
2015-05-22,8135.82,8196.45,8127.56,8166.21,,
2015-05-25,8159.04,8167.2,8117.99,8151.28,,
2015-05-26,8100.58,8168.89,8016.29,8086.3,,
2015-05-27,8173.62,8193.67,8096.27,8110.0,,
2015-05-28,8163.79,8271.59,8068.36,8162.41,,
2015-05-29,8178.91,8260.63,8144.89,8220.54,,
2015-06-01,8152.99,8259.65,8104.69,8199.33,,
2015-06-02,8046.06,8054.11,7978.18,8020.7,,
2015-06-03,8122.08,8245.64,8082.05,8157.69,,
2015-06-04,8106.43,8175.32,8098.32,8148.38,,
2015-06-05,8169.8,8217.29,8104.49,8145.33,,
2015-06-08,8072.55,8120.35,8027.87,8087.3,,
2015-06-09,8208.78,8266.79,8176.96,8209.97,,
2015-06-10,8059.19,8108.48,8036.85,8095.18,,
2015-06-11,8097.7,8171.21,8058.16,8067.94,,
2015-06-12,8171.46,8179.63,8140.12,8159.09,,
2015-06-15,8184.04,8226.21,8155.45,8191.92,,
2015-06-16,8034.78,8072.5,7918.31,7991.78,,
2015-06-17,8206.15,8214.36,8101.36,8124.64,,
2015-06-18,8152.93,8227.43,8144.78,8212.91,,
2015-06-19,8120.29,8197.58,8074.74,8152.39,,
2015-06-22,8085.47,8155.97,8015.48,8066.17,,
2015-06-23,8250.29,8258.54,8181.31,8232.04,,
2015-06-24,8169.23,8228.99,8152.44,8169.93,,
2015-06-25,7986.54,8096.81,7943.91,8044.02,,
2015-06-26,8159.26,8209.87,8137.75,8169.77,,
2015-06-29,8061.97,8084.8,8026.08,8074.37,,
2015-06-30,8096.09,8146.24,8074.11,8126.45,,
2015-07-01,8168.72,8210.76,8121.88,8177.98,,
2015-07-02,8188.23,8267.02,8142.05,8176.86,,
2015-07-03,8098.87,8209.83,8067.75,8164.24,,
2015-07-06,8127.55,8148.5,8075.51,8127.7,,
2015-07-07,7972.53,8026.93,7949.53,8015.73,,
2015-07-08,8162.07,8176.06,8099.08,8125.94,,
2015-07-09,8090.23,8133.18,8021.69,8084.52,,
2015-07-10,8270.3,8344.96,8167.35,8214.8,,
2015-07-13,8101.83,8131.56,8067.93,8105.38,,
2015-07-14,8138.03,8172.58,8087.13,8107.6,,
2015-07-15,8101.02,8121.89,8061.05,8090.11,,
2015-07-16,8066.48,8110.83,7979.96,8088.67,,
2015-07-17,8063.75,8160.46,8055.68,8093.98,,
2015-07-20,8084.27,8145.61,8022.14,8047.15,,
2015-07-21,8243.62,8251.86,8201.49,8220.5,,
2015-07-22,7919.25,7986.63,7911.33,7967.38,,
2015-07-23,8197.86,8209.03,8155.65,8184.21,,
2015-07-24,8243.43,8273.72,8235.18,8256.45,,
2015-07-27,8052.56,8099.66,8002.09,8051.46,,
2015-07-28,8103.39,8111.5,8050.52,8074.74,,
2015-07-29,8043.86,8092.94,8016.36,8071.79,,
2015-07-30,8145.64,8173.55,8075.4,8128.46,,
2015-07-31,8136.05,8219.55,8090.69,8191.02,,
2015-08-03,8042.46,8113.61,7939.98,8019.91,,
2015-08-04,8134.98,8143.11,8033.4,8096.11,,
2015-08-05,8103.94,8120.66,8063.85,8107.23,,
2015-08-06,8166.07,8174.24,8081.47,8112.5,,
2015-08-07,8186.56,8270.79,8151.03,8184.3,,
2015-08-10,8020.18,8097.22,8012.16,8086.43,,
2015-08-11,8161.27,8208.72,8153.11,8192.75,,
2015-08-12,7972.78,8033.18,7964.8,7985.72,,
2015-08-13,7969.89,8032.32,7920.04,8008.16,,
2015-08-14,7928.52,8013.64,7920.59,7993.85,,
2015-08-17,8118.62,8126.74,8043.23,8085.06,,
2015-08-18,8203.1,8211.3,8098.32,8160.6,,
2015-08-19,8095.25,8103.34,8081.43,8090.69,,
2015-08-20,8076.52,8112.57,8042.11,8076.66,,
2015-08-21,8058.48,8092.51,8036.81,8049.99,,
2015-08-24,8248.67,8318.24,8118.12,8179.82,Black Monday China -5.92%,Global
2015-08-25,7913.42,7971.97,7905.5,7947.66,,
