week,open,close,ret_pct,regime,n_days
2014-12-26,8324.00,8200.70,-1.48,RANGE,4
2015-01-02,8246.30,8395.45,1.81,RANGE,4
2015-01-09,8378.40,8284.50,-1.12,RANGE,5
2015-01-16,8323.00,8513.80,2.29,RANGE,5
2015-01-23,8550.70,8835.60,3.33,RANGE,5
2015-01-30,8910.50,8808.90,-1.14,TREND UP,4
2015-02-06,8797.40,8661.05,-1.55,TREND UP,5
2015-02-13,8526.35,8805.50,3.27,TREND UP,5
2015-02-20,8809.35,8833.60,0.28,TREND UP,4
2015-02-27,8754.95,8844.60,1.02,RANGE,5
2015-03-05,8956.75,8937.75,-0.21,RANGE,4
2015-03-13,8756.75,8647.75,-1.24,RANGE,5
2015-03-20,8633.15,8570.90,-0.72,RANGE,5
2015-03-27,8550.90,8341.40,-2.45,RANGE,5
2015-04-01,8492.30,8586.25,1.11,RANGE,3
2015-04-10,8659.90,8780.35,1.39,RANGE,5
2015-04-17,8834.00,8606.00,-2.58,RANGE,3
2015-04-24,8448.10,8305.25,-1.69,RANGE,5
2015-04-30,8213.80,8181.50,-0.39,RANGE,4
2015-05-08,8331.95,8191.50,-1.69,RANGE,5
2015-05-15,8325.25,8262.35,-0.76,TREND DOWN,5
2015-05-22,8373.65,8458.95,1.02,RANGE,5
2015-05-29,8370.25,8433.65,0.76,RANGE,5
2015-06-05,8433.40,8114.70,-3.78,RANGE,5
2015-06-12,8044.15,7982.90,-0.76,RANGE,5
2015-06-19,8013.90,8224.95,2.63,RANGE,5
2015-06-26,8353.10,8381.10,0.34,RANGE,5
2015-07-03,8318.40,8484.90,2.00,RANGE,5
2015-07-10,8522.15,8360.55,-1.90,RANGE,5
2015-07-17,8459.65,8609.85,1.78,RANGE,5
2015-07-24,8603.45,8521.55,-0.95,RANGE,5
2015-07-31,8361.00,8532.85,2.06,RANGE,5
2015-08-07,8543.05,8564.60,0.25,RANGE,5
2015-08-14,8525.60,8518.55,-0.08,CHOP,5
2015-08-21,8477.30,8299.95,-2.09,CHOP,5
2015-08-28,7809.00,8001.95,2.47,RANGE,5
2015-09-04,7971.30,7655.05,-3.97,TREND DOWN,5
2015-09-11,7558.80,7789.30,3.05,TREND DOWN,5
2015-09-18,7872.25,7981.90,1.39,TREND DOWN,4
2015-09-24,7977.10,7868.50,-1.36,TREND DOWN,4
2015-10-01,7795.70,7950.90,1.99,TREND DOWN,4
2015-10-09,8119.30,8189.70,0.87,TREND DOWN,5
2015-10-16,8143.60,8238.15,1.16,RANGE,5
2015-10-23,8275.05,8295.45,0.25,RANGE,4
2015-10-30,8260.55,8065.80,-2.36,CHOP,5
2015-11-06,8050.80,7954.30,-1.20,RANGE,5
2015-11-13,7915.20,7762.25,-1.93,RANGE,3
2015-11-20,7806.60,7856.55,0.64,TREND DOWN,5
2015-11-27,7849.25,7942.70,1.19,TREND DOWN,4
2015-12-04,7935.25,7781.90,-1.93,RANGE,5
2015-12-11,7765.40,7610.45,-2.00,RANGE,5
2015-12-18,7650.05,7761.95,1.46,TREND DOWN,5
2015-12-24,7834.45,7861.05,0.34,TREND DOWN,4
2015-12-31,7925.15,7946.35,0.27,RANGE,4
2016-01-08,7791.30,7601.35,-2.44,RANGE,5
2016-01-15,7563.85,7437.80,-1.67,TREND DOWN,5
2016-01-22,7351.00,7422.45,0.97,TREND DOWN,5
2016-01-29,7436.15,7563.55,1.71,TREND DOWN,4
2016-02-05,7555.95,7489.10,-0.88,TREND DOWN,5
2016-02-12,7387.25,6980.95,-5.50,TREND DOWN,5
2016-02-19,7162.95,7210.75,0.67,TREND DOWN,5
2016-02-26,7234.55,7029.75,-2.83,TREND DOWN,5
2016-03-04,6987.05,7485.35,7.13,TREND DOWN,5
2016-03-11,7485.30,7510.20,0.33,TREND UP,4
2016-03-18,7538.75,7604.35,0.87,RANGE,5
2016-03-23,7704.25,7716.50,0.16,RANGE,3
2016-04-01,7615.10,7713.05,1.29,RANGE,5
2016-04-08,7758.80,7555.20,-2.62,RANGE,5
2016-04-13,7671.40,7850.45,2.33,CHOP,3
2016-04-22,7914.70,7899.30,-0.19,RANGE,4
2016-04-29,7855.05,7849.80,-0.07,RANGE,5
2016-05-06,7805.90,7733.45,-0.93,RANGE,5
2016-05-13,7866.05,7814.90,-0.65,RANGE,5
2016-05-20,7860.75,7749.70,-1.41,CHOP,5
2016-05-27,7731.05,8156.65,5.51,CHOP,5
2016-06-03,8178.50,8220.80,0.52,RANGE,5
2016-06-10,8201.05,8170.05,-0.38,TREND UP,5
2016-06-17,8110.60,8170.20,0.73,CHOP,5
2016-06-24,8238.50,8088.60,-1.82,CHOP,5
2016-07-01,8094.70,8328.35,2.89,RANGE,5
2016-07-08,8370.70,8323.20,-0.57,RANGE,4
2016-07-15,8467.90,8541.40,0.87,RANGE,5
2016-07-22,8508.70,8541.20,0.38,RANGE,5
2016-07-29,8635.65,8638.50,0.03,TREND UP,5
2016-08-05,8636.55,8683.15,0.54,TREND UP,5
2016-08-11,8711.35,8592.15,-1.37,TREND UP,4
2016-08-19,8642.55,8666.90,0.28,TREND UP,4
2016-08-26,8629.15,8572.55,-0.66,CHOP,5
2016-09-02,8607.45,8809.65,2.35,RANGE,5
2016-09-09,8943.00,8866.70,-0.85,RANGE,4
2016-09-16,8715.60,8779.85,0.74,RANGE,4
2016-09-23,8808.40,8831.55,0.26,RANGE,5
2016-09-30,8723.05,8611.15,-1.28,RANGE,5
2016-10-07,8738.10,8697.60,-0.46,RANGE,5
2016-10-14,8708.80,8583.40,-1.44,RANGE,3
2016-10-21,8520.40,8693.05,2.03,CHOP,5
2016-10-28,8708.95,8638.00,-0.81,RANGE,5
2016-11-04,8626.25,8433.75,-2.23,CHOP,4
2016-11-11,8497.05,8296.30,-2.36,RANGE,5
2016-11-18,8108.45,8074.10,-0.42,TREND DOWN,4
2016-11-25,7929.10,8114.30,2.34,TREND DOWN,5
2016-12-02,8126.90,8086.80,-0.49,TREND DOWN,5
2016-12-09,8128.75,8261.75,1.64,TREND DOWN,5
2016-12-16,8170.80,8139.45,-0.38,TREND DOWN,5
2016-12-23,8104.35,7985.75,-1.46,TREND DOWN,5
2016-12-30,7908.25,8185.80,3.51,TREND DOWN,5
2017-01-06,8179.50,8243.80,0.79,TREND DOWN,5
2017-01-13,8236.05,8400.35,1.99,TREND UP,5
2017-01-20,8412.80,8349.35,-0.75,TREND UP,5
2017-01-27,8391.50,8641.25,2.98,TREND UP,4
2017-02-03,8632.75,8740.95,1.25,TREND UP,5
2017-02-10,8801.05,8793.55,-0.09,TREND UP,5
2017-02-17,8805.05,8821.70,0.19,TREND UP,5
2017-02-23,8879.20,8939.50,0.68,TREND UP,4
2017-03-03,8896.70,8897.55,0.01,TREND UP,5
2017-03-10,8963.45,8934.55,-0.32,TREND UP,5
2017-03-17,9087.00,9160.05,0.80,TREND UP,4
2017-03-24,9126.85,9108.00,-0.21,TREND UP,5
2017-03-31,9045.20,9173.75,1.42,TREND UP,5
2017-04-07,9237.85,9198.30,-0.43,TREND UP,4
2017-04-13,9181.45,9150.80,-0.33,TREND UP,4
2017-04-21,9139.30,9119.40,-0.22,TREND UP,5
2017-04-28,9217.95,9304.05,0.93,TREND UP,5
2017-05-05,9313.80,9285.30,-0.31,TREND UP,4
2017-05-12,9314.05,9400.90,0.93,TREND UP,5
2017-05-19,9445.40,9427.90,-0.19,TREND UP,5
2017-05-26,9438.25,9595.10,1.66,TREND UP,5
2017-06-02,9604.90,9653.50,0.51,TREND UP,5
2017-06-09,9675.10,9668.25,-0.07,TREND UP,5
2017-06-16,9616.40,9588.05,-0.29,TREND UP,5
2017-06-23,9657.55,9574.95,-0.86,TREND UP,5
2017-06-30,9511.40,9520.90,0.10,RANGE,4
2017-07-07,9615.00,9665.80,0.53,RANGE,5
2017-07-14,9771.05,9886.35,1.18,RANGE,5
2017-07-21,9915.95,9915.25,-0.01,TREND UP,5
2017-07-28,9966.40,10014.50,0.48,TREND UP,5
2017-08-04,10077.10,10066.40,-0.11,TREND UP,5
2017-08-11,10057.40,9710.80,-3.45,TREND DOWN,5
2017-08-18,9794.15,9837.40,0.44,TREND DOWN,4
2017-08-24,9754.35,9857.05,1.05,RANGE,4
